simulation_id,initial_vulnerable_population,simulation_months,prob_solicitud_mensual,prob_reconocimiento_grado,prob_con_derecho,prob_pia,prob_prestacion_efectiva,prob_lista_espera,prob_grado_I,prob_grado_II,prob_grado_III,prob_teleasistencia,prob_ayuda_domicilio,prob_atencion_residencial,prob_cuidados_familiares
1,6387,60,0.03176986287536167,0.1870640756149339,0.7460014326849508,0.21835141921247986,0.7240305469764874,0.2759694530235126,0.3760676317044654,0.36448571967022986,0.2594466486253047,0.28087002093546387,0.20901325633544476,0.10618463133484439,0.40393209139424696
2,6387,60,0.03435975115478146,0.18151099232776546,0.8613575620712305,0.20577328834459954,0.6615223328809405,0.33847766711905947,0.3593245086386218,0.379340955190594,0.26133453617078417,0.28557398293129804,0.20963768068575747,0.11804471486365432,0.3867436215192901
3,6387,60,0.03340312790068864,0.17956901548263268,0.7360330975585042,0.2129042734276511,0.6401267050787495,0.35987329492125053,0.3513503270436837,0.3858950011432645,0.26275467181305173,0.2969826141349602,0.2206884730155241,0.09817816569408425,0.38415074715543146
4,6387,60,0.03771787653516742,0.17639979825495647,0.8174359461608528,0.2358306136358815,0.6619954884710441,0.33800451152895594,0.3517233761372885,0.3692140684532554,0.27906255540945607,0.28677953382526095,0.19711753214350095,0.10694698149687899,0.40915595253435916
5,6387,60,0.033962923790795185,0.17748670485564352,0.7957576875270292,0.21311266859864314,0.7017422110894171,0.29825778891058286,0.3709555724625242,0.35658977455209495,0.2724546529853809,0.2832795258026911,0.1965094559728958,0.10460499154620329,0.4156060266782099
6,6387,60,0.03533710479891431,0.1667480926815315,0.8371828847419355,0.2112990024603839,0.7613655384685378,0.23863446153146217,0.3462995090205802,0.4021652406144586,0.2515352503649612,0.3215671448817561,0.21554090901553186,0.09504632844905606,0.367845617653656
7,6387,60,0.03196818783439927,0.17687674139141732,0.7406314804611077,0.2310929043024155,0.7015799153825912,0.29842008461740877,0.34778487753591314,0.3598101790151573,0.2924049434489295,0.28911835491752247,0.22166533281616535,0.11174924969619529,0.37746706257011686
8,6387,60,0.034982755981310225,0.17158225403061148,0.8252737289743146,0.20866910918408557,0.6962436011982437,0.3037563988017563,0.39817380857725543,0.34565541640915515,0.2561707750135895,0.31562082249675183,0.19061843800491615,0.09948780716493305,0.394272932333399
9,6387,60,0.033204624338965365,0.18007952362211363,0.7488936422956751,0.2341337774971044,0.662395931754737,0.337604068245263,0.35454471521307007,0.39438043233198733,0.25107485245494254,0.321018452452938,0.20941339623390814,0.10392362135550044,0.3656445299576535
10,6387,60,0.038348484008596986,0.16396281558037645,0.8394502988894436,0.21928991670627548,0.7618412543232971,0.23815874567670292,0.35242033437288317,0.40311034439082316,0.24446932123629367,0.3356363509266061,0.20461251875952527,0.1003066286947878,0.3594445016190809
11,6387,60,0.03581999033668967,0.19404498791529182,0.7962101069880391,0.2293018094095485,0.7611773824729526,0.23882261752704737,0.3520582014799833,0.3801108915597842,0.26783090696023254,0.3196314966083042,0.18452245378363355,0.09766879362453648,0.3981772559835259
12,6387,60,0.037895500807884244,0.16694920870514032,0.8122071066893549,0.2192529894646468,0.7642572580892943,0.23574274191070566,0.3559009251233491,0.37359426267982093,0.27050481219682987,0.29058144879649994,0.21962420297962904,0.11225360050062556,0.3775407477232456
13,6387,60,0.032132378979885454,0.196222808324284,0.7469713499532752,0.2305322963097563,0.7477739354308911,0.2522260645691089,0.3811978024843196,0.3613033921757343,0.25749880533994607,0.3093627255031498,0.22077640346697744,0.10724730699809999,0.36261356403177264
14,6387,60,0.03826143431617462,0.18215121290396055,0.7989706521221579,0.22102429691888548,0.7374724088309832,0.2625275911690168,0.39089777643197743,0.36294741085886534,0.24615481270915726,0.29611621869813115,0.18918265754539243,0.10955281597600723,0.40514830778046923
15,6387,60,0.03179795999507804,0.18322871221445952,0.7259820887348121,0.22062155012885987,0.7667304590853331,0.2332695409146669,0.3370558342768782,0.3989272766659884,0.2640168890571334,0.3284287120083172,0.18798035799840893,0.1119902604538921,0.37160066953938176
16,6387,60,0.0355653001545377,0.16940606396331886,0.8260059592323296,0.23964535931387154,0.6357689051846969,0.36423109481530314,0.36733141647949835,0.3730639236447831,0.2596046598757185,0.31746322645141123,0.22006742903226206,0.1098063413693501,0.35266300314697663
17,6387,60,0.03306929832393129,0.19557505067750455,0.8748042533366084,0.19900137726956216,0.7485683724432333,0.25143162755676673,0.3758272216000359,0.38666486287906293,0.2375079155209012,0.32039690222276557,0.20000109698529062,0.11188828617609423,0.36771371461584973
18,6387,60,0.03365464728313645,0.18280648357830143,0.7655488812095758,0.23354742626305156,0.6954104109401764,0.3045895890598236,0.3382148003093225,0.39118213556002174,0.27060306413065577,0.3255653248703043,0.21394984483990215,0.09979985527711635,0.3606849750126771
19,6387,60,0.03496141205185605,0.18204090228530637,0.8529570762427613,0.2121070850559051,0.6749354470711709,0.3250645529288291,0.3734119144018552,0.3713216480079178,0.2552664375902269,0.30532094664188014,0.20496089135598636,0.1018682618951229,0.3878499001070106
20,6387,60,0.037995940961143726,0.1682289680417296,0.8788018302369558,0.20847678613117282,0.6950652881218703,0.3049347118781297,0.3832132601113671,0.35703665679036933,0.25975008309826364,0.2916877635620619,0.23299308701932864,0.12035445510592542,0.35496469431268407
